Player,MLB_ID,Year,Max_EV,Avg_EV,Hard_Hit_Pct,Barrel_Pct,PA,AVG,OBP,SLG,OPS,wRC_Plus
"Encarnación, Edwin",429665,2015,114.0,90.0,43.9,10.0,624.0,0.277,0.372,0.557,0.929,150.0
"Escobar, Alcides",444876,2015,106.2,84.6,16.5,0.9,662.0,0.257,0.293,0.32,0.614,66.0
"Escobar, Eduardo",500871,2015,107.6,86.5,23.9,6.1,446.0,0.262,0.309,0.445,0.754,101.0
"Escobar, Yunel",488862,2015,109.5,89.7,36.3,3.0,591.0,0.314,0.375,0.415,0.79,120.0
"Espinosa, Danny",457787,2015,109.0,86.3,28.5,6.4,412.0,0.24,0.311,0.409,0.719,93.0
"Ethier, Andre",444843,2015,110.9,86.3,32.5,5.9,445.0,0.294,0.366,0.486,0.852,137.0
"Featherston, Taylor",605227,2015,107.1,86.7,25.7,2.7,,,,,,
"Fielder, Prince",425902,2015,114.9,90.9,44.5,6.4,693.0,0.305,0.378,0.463,0.841,125.0
"Flaherty, Ryan",475247,2015,112.1,89.3,32.1,6.3,301.0,0.202,0.281,0.356,0.637,72.0
"Flores, Wilmer",527038,2015,110.0,86.4,25.7,1.9,510.0,0.263,0.295,0.408,0.703,95.0
"Flowers, Tyler",452095,2015,114.2,90.4,39.6,4.8,361.0,0.239,0.295,0.356,0.652,81.0
"Forsythe, Logan",523253,2015,108.7,88.4,32.2,3.7,615.0,0.281,0.359,0.444,0.804,125.0
"Fowler, Dexter",451594,2015,110.1,87.2,30.2,4.5,690.0,0.25,0.346,0.411,0.757,109.0
"Franco, Maikel",596748,2015,111.0,88.8,37.2,5.9,335.0,0.28,0.343,0.497,0.84,129.0
"Francoeur, Jeff",425796,2015,108.0,88.0,33.3,4.8,343.0,0.258,0.286,0.433,0.718,93.0
"Frazier, Todd",453943,2015,111.7,89.6,38.8,9.0,678.0,0.255,0.309,0.498,0.806,116.0
"Freeman, Freddie",518692,2015,110.0,90.6,44.7,11.3,481.0,0.276,0.37,0.471,0.841,132.0
"Freese, David",501896,2015,114.1,89.0,38.4,7.2,470.0,0.257,0.323,0.42,0.743,108.0
"Fuld, Sam",453539,2015,104.0,85.2,21.8,1.3,325.0,0.197,0.276,0.293,0.569,59.0
"Galvis, Freddy",520471,2015,104.0,86.1,22.1,2.1,603.0,0.263,0.302,0.343,0.645,76.0
"García, Adonis",611177,2015,108.3,89.1,42.4,8.2,,,,,,
"García, Avisaíl",541645,2015,116.1,88.5,37.5,4.8,601.0,0.257,0.309,0.365,0.675,86.0
"Gardner, Brett",458731,2015,109.7,88.8,34.9,4.0,656.0,0.259,0.343,0.399,0.742,106.0
"Gattis, Evan",594828,2015,112.3,88.9,39.2,7.1,604.0,0.246,0.285,0.463,0.748,103.0
"Gennett, Scooter",571697,2015,103.6,85.2,22.5,1.0,391.0,0.264,0.294,0.381,0.675,78.0
"Giavotella, Johnny",543213,2015,110.7,85.8,19.6,1.0,502.0,0.272,0.318,0.375,0.694,93.0
"Gillaspie, Conor",543216,2015,107.0,87.1,26.6,1.6,253.0,0.228,0.269,0.359,0.627,68.0
"Gillespie, Cole",502261,2015,105.6,86.3,33.3,2.5,,,,,,
"Goins, Ryan",572365,2015,106.5,87.3,32.1,2.6,428.0,0.25,0.318,0.354,0.672,85.0
"Goldschmidt, Paul",502671,2015,114.0,92.0,46.3,12.5,695.0,0.321,0.435,0.57,1.005,163.0
"Gomes, Jonny",430404,2015,107.5,88.1,33.3,4.1,262.0,0.213,0.313,0.347,0.66,84.0
"Gomes, Yan",543228,2015,107.7,87.5,32.8,6.4,389.0,0.231,0.267,0.391,0.659,74.0
"Gonzalez, Marwin",503556,2015,108.3,88.8,34.3,3.6,370.0,0.279,0.317,0.442,0.759,111.0
"González, Adrián",408236,2015,107.9,88.8,36.8,8.4,643.0,0.275,0.35,0.48,0.83,129.0
"González, Carlos",471865,2015,117.1,90.3,38.6,10.5,608.0,0.271,0.325,0.54,0.864,116.0
"Gordon, Alex",460086,2015,110.8,88.4,34.1,5.2,422.0,0.271,0.377,0.432,0.809,122.0
"Gose, Anthony",543238,2015,110.3,88.2,30.7,2.3,535.0,0.254,0.321,0.367,0.688,89.0
"Gosewisch, Tuffy",488912,2015,106.4,87.2,27.4,0.0,,,,,,
"Grandal, Yasmani",518735,2015,115.1,90.7,42.3,9.0,426.0,0.234,0.353,0.403,0.756,116.0
"Granderson, Curtis",434158,2015,109.6,89.4,40.0,8.3,682.0,0.259,0.364,0.457,0.821,131.0
"Gregorius, Didi",544369,2015,107.2,85.4,24.5,1.6,578.0,0.265,0.318,0.37,0.688,89.0
"Grichuk, Randal",545341,2015,112.0,92.2,46.3,16.8,350.0,0.276,0.329,0.548,0.877,138.0
"Guerrero, Alex",648717,2015,107.0,86.9,32.9,7.9,230.0,0.233,0.261,0.434,0.695,90.0
"Gutierrez, Franklin",429711,2015,110.3,90.8,46.6,16.9,,,,,,
"Guyer, Brandon",446386,2015,108.1,87.0,29.1,3.3,385.0,0.265,0.359,0.413,0.771,120.0
"Gyorko, Jedd",576397,2015,109.3,88.8,35.4,6.3,458.0,0.247,0.297,0.397,0.694,93.0
"Gómez, Carlos",460576,2015,111.7,88.2,33.1,5.0,477.0,0.255,0.314,0.409,0.724,98.0
"Hamilton, Billy",571740,2015,104.2,83.7,8.9,0.6,454.0,0.226,0.274,0.289,0.563,53.0
"Hamilton, Josh",285078,2015,112.3,88.2,39.2,8.3,,,,,,
"Hanigan, Ryan",452672,2015,106.4,85.7,22.6,0.7,201.0,0.247,0.337,0.328,0.664,85.0
"Hardy, J.J.",429666,2015,107.3,87.2,30.7,1.5,437.0,0.219,0.253,0.311,0.564,51.0
"Harper, Bryce",547180,2015,116.0,91.4,47.5,12.9,654.0,0.33,0.46,0.649,1.109,197.0
"Harrison, Josh",543281,2015,104.7,86.4,24.4,1.4,449.0,0.287,0.327,0.39,0.717,98.0
"Headley, Chase",452104,2015,109.9,86.8,32.5,5.1,642.0,0.259,0.324,0.369,0.693,92.0
"Hechavarría, Adeiny",588751,2015,107.1,87.6,31.3,1.0,499.0,0.281,0.315,0.374,0.689,89.0
"Hedges, Austin",595978,2015,108.3,88.1,24.8,1.0,,,,,,
"Hernández, César",514917,2015,107.2,85.9,26.9,1.2,452.0,0.272,0.339,0.348,0.687,92.0
"Hernández, Enrique",571771,2015,109.2,90.4,43.4,5.0,218.0,0.307,0.346,0.49,0.836,132.0
"Herrera, Elian",467070,2015,107.0,84.8,25.7,2.7,277.0,0.242,0.29,0.395,0.684,83.0
"Herrera, Jonathan",468406,2015,103.0,83.7,14.0,0.9,,,,,,
"Herrera, Odúbel",546318,2015,113.3,88.7,33.9,3.2,537.0,0.297,0.344,0.418,0.762,111.0
"Heyward, Jason",518792,2015,111.2,89.1,34.6,2.8,610.0,0.293,0.359,0.439,0.797,121.0
"Hicks, Aaron",543305,2015,107.8,88.8,33.3,3.1,390.0,0.256,0.323,0.398,0.721,96.0
"Hill, Aaron",431094,2015,105.1,88.3,29.6,2.2,353.0,0.23,0.295,0.345,0.64,70.0
"Holliday, Matt",407812,2015,113.3,90.4,39.9,4.9,277.0,0.279,0.394,0.41,0.804,125.0
"Holt, Brock",571788,2015,107.2,86.6,24.2,0.6,509.0,0.28,0.349,0.379,0.727,99.0
