player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Smith, Will",669257,387,15.6,37.5,110.8,89.3,99.6,92.6,86.6,417,183,391.0,161,41.6,26,6.7,4.7,2023
"García, Adolis",666969,386,15.7,36.0,115.1,92.1,102.9,95.9,88.3,448,192,407.0,192,49.7,62,16.1,9.8,2023
"Correa, Carlos",621043,386,10.6,31.1,114.2,90.4,102.5,95.0,88.3,439,160,399.0,177,45.9,37,9.6,6.4,2023
"Hays, Austin",669720,384,10.4,31.0,111.0,89.4,100.5,93.1,86.8,439,163,397.0,154,40.1,34,8.9,6.0,2023
"Candelario, Jeimer",600869,382,14.1,36.9,111.3,88.3,99.2,93.1,84.6,443,175,400.0,139,36.4,30,7.9,5.2,2023
"Straw, Myles",664702,377,9.4,32.9,106.2,86.3,95.1,87.8,86.0,385,143,380.0,88,23.3,2,0.5,0.4,2023
"Brennan, Will",686823,377,9.4,35.8,106.9,85.7,96.5,90.3,83.4,406,149,384.0,110,29.2,9,2.4,2.0,2023
"Franco, Wander",677551,377,8.9,35.0,111.0,89.4,99.9,93.8,85.9,448,155,397.0,162,43.0,29,7.7,5.9,2023
"Volpe, Anthony",683011,377,14.2,35.5,108.7,88.7,99.5,93.6,84.4,419,169,383.0,162,43.0,34,9.0,5.7,2023
"Estrada, Thairo",642731,377,10.8,34.5,110.5,85.9,97.9,90.6,82.6,441,155,402.0,127,33.7,18,4.8,3.4,2023
"Renfroe, Hunter",592669,376,15.0,29.5,113.2,88.3,100.5,92.2,87.5,430,161,390.0,146,39.1,23,6.1,4.2,2023
"Robert Jr., Luis",673357,376,16.1,38.0,113.6,89.1,101.8,94.3,84.3,450,187,404.0,159,42.3,58,15.4,9.7,2023
"LeMahieu, DJ",518934,374,3.8,31.6,111.2,89.6,100.3,93.4,87.8,411,135,381.0,161,43.0,22,5.9,3.9,2023
"Hernández, Enrique",571771,374,17.0,31.0,109.2,87.8,97.8,90.4,87.4,431,169,395.0,126,33.7,17,4.5,3.3,2023
"Profar, Jurickson",595777,374,14.8,37.7,108.8,86.5,97.2,90.0,84.9,417,164,391.0,119,31.8,15,4.0,2.9,2023
"Schwarber, Kyle",656941,373,19.0,34.3,115.2,92.4,103.4,96.6,89.0,483,191,407.0,182,48.8,61,16.4,8.5,2023
"Anderson, Tim",641313,373,2.0,32.4,109.6,87.8,99.2,92.3,85.3,429,119,429.0,147,39.4,11,2.9,2.1,2023
"Díaz, Elias",553869,372,12.7,31.2,111.7,88.1,100.0,91.6,87.5,453,157,415.0,143,38.4,23,6.2,4.4,2023
